4FGL Name, NS, NS_BIN, HMXB, LMXB, AGN, CV, YSO, HM-STAR, LM-STAR, gamma-candidate, coverage (%)
J1808.9--2607,9/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,8N,52
J1814.0+0043,1/1,0/0,0/0,0/0,2/0,1/0,0/0,0/0,4/4,2A,57
J1815.8--1416,11/0,0/0,2/0,2/1,0/0,1/1,1/0,0/0,0/0,2H  11N,54
J1817.7--2517,23/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,8/4,18N,85
J1818.6--3206,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,,14
J1820.3--1009,4/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,3/2,2N,53
J1823.3--1340,0/0,0/0,0/0,0/0,0/0,0/0,2/1,0/0,0/0,,100
J1830.7--3219,10/0,0/0,0/0,0/0,6/1,0/0,0/0,0/0,16/13,2A  4N,98
J1830.7--2414,0/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,1/1,1A,53
J1831.4--2909,9/0,1/0,0/0,0/0,4/2,0/0,0/0,0/0,4/0,3A  8N,40
J1831.8--2514,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,,10
J1832.4--0847,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,1/1,,100
J1836.8--2354,5/0,0/0,0/0,0/0,6/3,2/0,0/0,0/0,8/5,3A   2N,100
J1836.8--0727,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,,75
J1838.4--0545,2/0,0/0,0/0,0/0,0/0,0/0,1/1,0/0,3/2,2N,88
J1839.2--0420,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,0/0,,93
J1844.4--0306,8/1,0/0,0/0,0/0,0/0,0/0,6/2,0/0,2/2,7N,99
J1846.9--0227,4/0,0/0,0/0,0/0,0/0,0/0,2/2,0/0,2/1,1N,90
J1847.2--0141,4/0,0/0,0/0,0/0,0/0,1/1,3/1,0/0,2/1,2N,85
J1847.7--0125,2/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,1/0,1N,100
J1848.7--6307,3/0,0/0,0/0,0/0,6/4,0/0,0/0,0/0,2/1,3A  2N,100
J1855.2+0456,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,1N,52
